Row-number,IATI-XML,IATI-Section,IATI-Item,Proposed-IATI-Field,Proposed-HXL-Hashtag,Proposed-Database-Field,Notes
297,iati-activities/iati-activity/legacy-data/@name,,name,,,,
298,iati-activities/iati-activity/legacy-data/@value,,value,,,,
299,iati-activities/iati-activity/legacy-data/@iati-equivalent,,iati-equivalent,,,,
300,iati-activities/iati-activity/conditions,conditions,,,,,
301,iati-activities/iati-activity/conditions/@attached,,attached,,,,
302,iati-activities/iati-activity/conditions/condition,,condition,,,,
303,iati-activities/iati-activity/conditions/condition/@type,,type,,,,
304,iati-activities/iati-activity/conditions/condition/narrative,,narrative,,,,
305,iati-activities/iati-activity/conditions/condition/narrative/text(),,,,,,
306,iati-activities/iati-activity/conditions/condition/narrative/@xml:lang,,xml:lang,,,,
307,iati-activities/iati-activity/result,result,,,,,
308,iati-activities/iati-activity/result/@type,,type,,,,
309,iati-activities/iati-activity/result/@aggregation-status,,aggregation-status,,,,
310,iati-activities/iati-activity/result/title,,title,,,,
311,iati-activities/iati-activity/result/title/narrative,,narrative,,,,
312,iati-activities/iati-activity/result/title/narrative/text(),,,,,,
313,iati-activities/iati-activity/result/title/narrative/@xml:lang,,xml:lang,,,,
314,iati-activities/iati-activity/result/description,,description,,,,
315,iati-activities/iati-activity/result/description/narrative,,narrative,,,,
316,iati-activities/iati-activity/result/description/narrative/text(),,,,,,
317,iati-activities/iati-activity/result/description/narrative/@xml:lang,,xml:lang,,,,
318,iati-activities/iati-activity/result/document-link,,document-link,,,,
319,iati-activities/iati-activity/result/document-link/@url,,url,,,,
320,iati-activities/iati-activity/result/document-link/@format,,format,,,,
321,iati-activities/iati-activity/result/document-link/title,,title,,,,
322,iati-activities/iati-activity/result/document-link/title/narrative,,narrative,,,,
323,iati-activities/iati-activity/result/document-link/title/narrative/text(),,,,,,
324,iati-activities/iati-activity/result/document-link/title/narrative/@xml:lang,,xml:lang,,,,
325,iati-activities/iati-activity/result/document-link/description,,description,,,,
326,iati-activities/iati-activity/result/document-link/description/narrative,,narrative,,,,
327,iati-activities/iati-activity/result/document-link/description/narrative/text(),,,,,,
328,iati-activities/iati-activity/result/document-link/description/narrative/@xml:lang,,xml:lang,,,,
329,iati-activities/iati-activity/result/document-link/category,,category,,,,
330,iati-activities/iati-activity/result/document-link/category/@code,,code,,,,
331,iati-activities/iati-activity/result/document-link/language,,language,,,,
332,iati-activities/iati-activity/result/document-link/language/@code,,code,,,,
333,iati-activities/iati-activity/result/document-link/document-date,,document-date,,,,
334,iati-activities/iati-activity/result/document-link/document-date/@iso-date,,iso-date,,,,
335,iati-activities/iati-activity/result/reference,,reference,,,,
336,iati-activities/iati-activity/result/reference/@code,,code,,,,
337,iati-activities/iati-activity/result/reference/@vocabulary,,vocabulary,,,,
338,iati-activities/iati-activity/result/reference/@vocabulary-uri,,vocabulary-uri,,,,
339,iati-activities/iati-activity/result/indicator,,indicator,,,,
340,iati-activities/iati-activity/result/indicator/@measure,,measure,,,,
341,iati-activities/iati-activity/result/indicator/@ascending,,ascending,,,,
342,iati-activities/iati-activity/result/indicator/@aggregation-status,,aggregation-status,,,,
343,iati-activities/iati-activity/result/indicator/title,,title,,,,
344,iati-activities/iati-activity/result/indicator/title/narrative,,narrative,,,,
345,iati-activities/iati-activity/result/indicator/title/narrative/text(),,,,,,
346,iati-activities/iati-activity/result/indicator/title/narrative/@xml:lang,,xml:lang,,,,
347,iati-activities/iati-activity/result/indicator/description,,description,,,,
348,iati-activities/iati-activity/result/indicator/description/narrative,,narrative,,,,
349,iati-activities/iati-activity/result/indicator/description/narrative/text(),,,,,,
350,iati-activities/iati-activity/result/indicator/description/narrative/@xml:lang,,xml:lang,,,,
351,iati-activities/iati-activity/result/indicator/document-link,,document-link,,,,
352,iati-activities/iati-activity/result/indicator/document-link/@url,,url,,,,
353,iati-activities/iati-activity/result/indicator/document-link/@format,,format,,,,
354,iati-activities/iati-activity/result/indicator/document-link/title,,title,,,,
355,iati-activities/iati-activity/result/indicator/document-link/title/narrative,,narrative,,,,
356,iati-activities/iati-activity/result/indicator/document-link/title/narrative/text(),,,,,,
357,iati-activities/iati-activity/result/indicator/document-link/title/narrative/@xml:lang,,xml:lang,,,,
358,iati-activities/iati-activity/result/indicator/document-link/description,,description,,,,
359,iati-activities/iati-activity/result/indicator/document-link/description/narrative,,narrative,,,,
360,iati-activities/iati-activity/result/indicator/document-link/description/narrative/text(),,,,,,
361,iati-activities/iati-activity/result/indicator/document-link/description/narrative/@xml:lang,,xml:lang,,,,
362,iati-activities/iati-activity/result/indicator/document-link/category,,category,,,,
363,iati-activities/iati-activity/result/indicator/document-link/category/@code,,code,,,,
364,iati-activities/iati-activity/result/indicator/document-link/language,,language,,,,
365,iati-activities/iati-activity/result/indicator/document-link/language/@code,,code,,,,
366,iati-activities/iati-activity/result/indicator/document-link/document-date,,document-date,,,,
367,iati-activities/iati-activity/result/indicator/document-link/document-date/@iso-date,,iso-date,,,,
368,iati-activities/iati-activity/result/indicator/reference,,reference,,,,
369,iati-activities/iati-activity/result/indicator/reference/@vocabulary,,vocabulary,,,,
370,iati-activities/iati-activity/result/indicator/reference/@code,,code,,,,
371,iati-activities/iati-activity/result/indicator/reference/@indicator-uri,,indicator-uri,,,,
372,iati-activities/iati-activity/result/indicator/baseline,,baseline,,,,
373,iati-activities/iati-activity/result/indicator/baseline/@iso-date,,iso-date,,,,
374,iati-activities/iati-activity/result/indicator/baseline/@year,,year,,,,
375,iati-activities/iati-activity/result/indicator/baseline/@value,,value,,,,
376,iati-activities/iati-activity/result/indicator/baseline/location,,location,,,,
377,iati-activities/iati-activity/result/indicator/baseline/location/@ref,,ref,,,,
378,iati-activities/iati-activity/result/indicator/baseline/dimension,,dimension,,,,
379,iati-activities/iati-activity/result/indicator/baseline/dimension/@name,,name,,,,
380,iati-activities/iati-activity/result/indicator/baseline/dimension/@value,,value,,,,
381,iati-activities/iati-activity/result/indicator/baseline/document-link,,document-link,,,,
382,iati-activities/iati-activity/result/indicator/baseline/document-link/@url,,url,,,,
383,iati-activities/iati-activity/result/indicator/baseline/document-link/@format,,format,,,,
384,iati-activities/iati-activity/result/indicator/baseline/document-link/title,,title,,,,
385,iati-activities/iati-activity/result/indicator/baseline/document-link/title/narrative,,narrative,,,,
386,iati-activities/iati-activity/result/indicator/baseline/document-link/title/narrative/text(),,,,,,
387,iati-activities/iati-activity/result/indicator/baseline/document-link/title/narrative/@xml:lang,,xml:lang,,,,
388,iati-activities/iati-activity/result/indicator/baseline/document-link/description,,description,,,,
389,iati-activities/iati-activity/result/indicator/baseline/document-link/description/narrative,,narrative,,,,
